xtf_id;Date;Power;Inclination;Orientation;PlantCategory;ElectricityProductionPlantR
detail_438;15.06.2015;35.95;;;;23616
detail_439;22.10.2020;1.3;;;;11612
detail_440;05.12.2017;2.28;;;;22726
detail_441;23.06.2015;5.88;;;;26216
detail_442;04.05.2022;9.24;;;;26216
detail_443;20.06.2022;3;;;;12132
detail_444;02.10.2014;11.66;;;;22786
detail_445;22.03.2016;22.5;;;;22825
detail_446;03.12.2014;30.6;;;;22856
detail_447;23.08.2018;21;;;;11620
detail_448;30.03.2015;5.8;;;;11404
detail_449;11.12.2020;9.52;;;;11429
detail_450;22.11.2017;1.84;;;;20336
detail_451;30.09.2015;8.58;;;;23286
detail_452;09.04.2018;1.13;;;;23353
detail_453;20.03.2015;56.61;;;;23475
detail_454;27.12.2012;44.44;;;;23475
detail_455;22.11.2017;2.69;;;;19527
detail_456;09.03.2016;4.56;;;;23564
detail_457;18.07.2014;9.06;;;;23564
detail_458;09.07.2019;1.58;;;;23600
detail_459;03.03.2015;91.3;;;;23814
detail_460;03.03.2015;56.2;;;;23814
detail_461;11.02.2016;6.75;;;;23869
detail_462;23.03.2021;10;;;;9986
detail_463;26.11.2013;312.63;;;;23485
detail_464;31.10.2016;56.45;;;;23587
detail_465;17.08.2017;8;;;;19468
detail_466;30.04.2020;8.1;;;;19689
detail_467;21.04.2017;1.26;;;;23725
detail_468;15.04.2012;0.94;;;;13038
detail_469;05.06.2017;3.24;;;;13038
detail_470;24.09.2015;21.84;;;;23807
detail_471;19.06.2020;25.03;;;;23666
detail_472;20.07.2016;1.57;;;;23746
detail_473;29.09.2017;128.79;;;;23759
detail_474;26.09.2012;72;;;;23759
detail_475;31.03.2015;5.8;;;;11903
detail_476;20.02.2018;1.76;;;;20366
detail_477;23.05.2019;6.2;;;;22465
detail_478;01.10.2017;2.4;;;;22465
detail_479;30.11.2021;2.7;;;;23876
detail_480;17.03.2015;59.4;;;;23908
detail_481;03.03.2015;17.4;;;;23908
detail_482;09.10.2017;1.34;;;;24238
detail_483;12.12.2017;2.21;;;;24238
detail_484;10.11.2015;2.5;;;;24257
detail_485;27.03.2015;5.23;;;;24006
detail_486;06.03.2015;17.28;;;;24019
detail_487;16.07.2020;0.14;;;;24019
detail_488;18.08.2021;15;;;;14700
detail_489;31.03.2015;16.06;;;;19469
detail_490;29.09.2015;3.24;;;;24040
detail_491;20.02.2017;6.12;;;;24096
detail_492;30.06.2012;12.87;;;;24096
detail_493;27.10.2017;0.12;;;;24155
detail_494;28.09.2017;841.05;;;;24178
detail_495;05.12.2016;0.88;;;;24336
detail_496;30.10.2019;7;;;;14709
detail_497;12.05.2021;2.08;;;;24496
detail_498;03.12.2014;236.1;;;;24515
detail_499;12.05.2020;0.02;;;;24569
detail_500;05.10.2017;2.02;;;;24571
detail_501;22.07.2020;3.02;;;;24598
detail_502;19.09.2017;1.01;;;;24618
detail_503;28.09.2015;56.76;;;;24629
detail_504;05.05.2015;10.99;;;;24645
detail_505;23.11.2017;0.86;;;;19565
detail_506;18.05.2017;3.2;;;;24650
detail_507;18.12.2017;6.6;;;;24650
detail_508;03.05.2019;5.5;;;;11039
detail_509;17.03.2019;20.1;;;;19525
detail_510;30.09.2011;10.2;;;;20246
detail_511;01.10.2016;3.35;;;;20246
detail_512;10.03.2015;71.76;;;;24462
detail_513;19.10.2016;1.65;;;;20247
detail_514;31.08.2015;4.86;;;;16419
detail_515;15.07.2015;0.78;;;;20249
detail_516;16.02.2015;7.56;;;;13061
detail_517;19.09.2014;11.44;;;;24935
detail_518;30.09.2015;85.5;;;;24935
detail_519;26.02.2016;34.2;;;;24935
detail_520;19.11.2015;1.68;;;;24966
detail_521;12.03.2021;17.82;;;;25142
detail_522;18.05.2015;6.1;;;;19436
detail_523;19.02.2014;71.22;;;;25176
detail_524;08.11.2017;0.67;;;;25190
detail_525;20.03.2020;701.25;;;;25201
detail_526;29.04.2019;39.9;;;;24795
detail_527;06.04.2018;0.3;;;;24815
detail_528;03.12.2014;22.95;;;;25081
detail_529;30.09.2015;54.6;;;;25088
detail_530;31.07.2015;15.08;;;;25930
detail_531;25.03.2015;139.92;;;;25932
detail_532;23.09.2015;420.75;;;;25932
detail_533;18.07.2016;6.4;;;;25954
detail_534;12.10.2015;1.18;;;;26101
detail_535;17.12.2015;323.96;;;;26118
detail_536;29.09.2015;1186.64;;;;26118
detail_537;28.09.2016;1030.3;;;;26120
detail_538;16.02.2020;12;;;;15609
detail_539;09.06.2016;5.32;;;;25251
detail_540;13.12.2011;667.66;;;;25263
detail_541;27.09.2012;286.45;;;;25263
detail_542;02.03.2015;506.36;;;;25263
detail_543;30.09.2015;127.92;;;;25263
detail_544;09.11.2017;2.07;;;;25266
detail_545;23.04.2018;2.02;;;;25271
detail_546;29.03.2016;41.04;;;;25323
detail_547;09.06.2020;9.75;;;;25324
detail_548;20.04.2016;1.92;;;;25342
detail_549;04.01.2021;15;;;;15636
detail_550;11.06.2012;12;;;;25466
detail_551;29.11.2017;1.93;;;;25515
detail_552;21.09.2016;53.2;;;;25252
detail_553;14.08.2015;10.62;;;;25256
detail_554;23.09.2015;157.41;;;;25284
detail_555;28.11.2017;1.2;;;;25314
detail_556;22.10.2020;9.75;;;;25465
detail_557;28.08.2022;31;;;;15644
detail_558;09.04.2019;22;;;;15646
detail_559;23.03.2015;11.95;;;;25513
detail_560;18.11.2019;11.42;;;;25528
detail_561;26.06.2018;3.74;;;;25536
detail_562;08.09.2020;7.37;;;;25531
detail_563;29.12.2017;1.3;;;;25535
detail_564;29.03.2017;13.3;;;;25556
detail_565;20.10.2023;0.6;;;;25568
detail_566;21.06.2013;6.65;;;;25631
detail_567;26.10.2017;0.84;;;;25637
detail_568;07.01.2020;0.12;;;;25645
detail_569;21.05.2013;5;;;;25646
detail_570;01.11.2011;8.16;;;;25668
detail_571;10.06.2016;5.94;;;;25685
detail_572;01.04.2011;0.9;;;;25695
detail_573;20.12.2017;17.34;;;;25808
detail_574;15.12.2017;1.44;;;;25590
detail_575;07.09.2021;1.62;;;;25591
detail_576;01.09.2020;84.8;;;;15658
detail_577;27.10.2017;8.55;;;;15826
detail_578;05.12.2017;3.78;;;;25766
detail_579;21.03.2013;10.12;;;;25827
detail_580;04.12.2017;2.77;;;;25827
detail_581;21.08.2015;8.6;;;;46369
detail_582;15.11.2017;3.28;;;;25917
detail_583;31.10.2017;1.3;;;;25938
detail_584;28.07.2017;148.68;;;;14936
detail_585;05.09.2019;23.33;;;;15578
detail_586;24.03.2015;20.8;;;;14940
detail_587;10.09.2010;29.05;;;;14940
detail_588;16.10.2017;1.3;;;;26055
detail_589;19.11.2016;3.6;;;;26136
detail_590;03.09.2015;4.8;;;;26126
detail_591;24.04.2015;6.6;;;;19755
detail_592;10.10.2018;18.09;;;;26070
detail_593;07.12.2019;35.84;;;;26077
detail_594;02.06.2020;42.88;;;;14964
detail_595;15.06.2013;42.4;;;;26117
detail_596;29.03.2016;132.3;;;;26117
detail_597;20.06.2022;0.21;;;;26121
detail_598;15.05.2017;50.44;;;;14975
detail_599;19.09.2016;99.36;;;;14977
detail_600;29.11.2012;14.99;;;;14977
detail_601;25.02.2022;0.36;;;;14978
detail_602;29.04.2020;2.85;;;;14979
detail_603;30.08.2021;1.8;;;;14997
detail_604;07.10.2020;15.1;;;;15092
detail_605;07.10.2020;0.03;;;;15092
detail_606;29.09.2015;140.46;;;;15119
detail_607;30.09.2017;23.37;;;;15119
detail_608;23.05.2016;17.1;;;;15119
detail_609;18.11.2014;110.24;;;;15125
detail_610;26.09.2012;37.49;;;;15125
detail_611;15.09.2015;1.75;;;;15135
detail_612;22.03.2021;6.03;;;;15138
detail_613;01.09.2014;60.48;;;;15167
detail_614;20.07.2016;3.6;;;;15170
detail_615;01.07.2022;1.75;;;;15180
detail_616;15.06.2016;3.68;;;;15226
detail_617;20.03.2023;0.51;;;;15395
detail_618;31.03.2020;6.3;;;;15271
detail_619;01.04.2014;2.25;;;;16393
detail_620;26.11.2014;56;;;;15302
detail_621;20.11.2015;1.47;;;;15307
detail_622;20.09.2012;34.7;;;;15332
detail_623;25.09.2015;3.12;;;;15334
detail_624;19.12.2014;4.7;;;;15334
detail_625;20.02.2017;4.06;;;;15343
detail_626;01.04.2021;10.55;;;;15351
detail_627;03.05.2012;392.37;;;;15352
detail_628;03.11.2014;585.63;;;;15359
detail_629;31.05.2017;6.48;;;;15527
detail_630;31.05.2017;1.36;;;;15527
detail_631;13.09.2016;5.04;;;;15373
